motif	ntarget_hits	nrandom_hits	Posison.Test	max.class	max.FC	Poison.Test.P.value	Q1	Median	Q3	IQR	Outlier	max.peak	peak.IQR.ratio	peak.Test
HEY2_1.motif	2	6	Not-Overlapped	NA	NA	0.27962023032499	NA	NA	NA	NA	NA	NA	NA	NA
HEYL_1.motif	1	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
HIC1_1.motif	68	53	Not-Overlapped	NA	NA	0.813047438100045	NA	NA	NA	NA	NA	NA	NA	NA
HIC2_1.motif	771	722	Not-Overlapped	NA	NA	0.885179397247644	NA	NA	NA	NA	NA	NA	NA	NA
HIF1A_1.motif	34	40	Not-Overlapped	NA	NA	0.345239215930069	NA	NA	NA	NA	NA	NA	NA	NA
HINFP_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
HINFP_3.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
HIVEP1_1.motif	16	11	Not-Overlapped	NA	NA	0.295241472242587	NA	NA	NA	NA	NA	NA	NA	NA
HIVEP2_1.motif	5	4	Not-Overlapped	NA	NA	0.275251164226162	NA	NA	NA	NA	NA	NA	NA	NA
HKR1_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
HKR1_2.motif	619	418	Not-Overlapped	NA	NA	0.403078876317053	NA	NA	NA	NA	NA	NA	NA	NA
HLF_1.motif	16	5	Not-Overlapped	NA	NA	0.278148544902227	NA	NA	NA	NA	NA	NA	NA	NA
HLTF_1.motif	49	51	Not-Overlapped	NA	NA	0.631908670521449	NA	NA	NA	NA	NA	NA	NA	NA
HLTF_2.motif	3806	3656	Not-Overlapped	NA	NA	0.416732181649933	NA	NA	NA	NA	NA	NA	NA	NA
HLX_1.motif	2289	1939	Not-Overlapped	NA	NA	0.999999949982367	NA	NA	NA	NA	NA	NA	NA	NA
HMBOX1_1.motif	163	128	Not-Overlapped	NA	NA	0.674993352602457	NA	NA	NA	NA	NA	NA	NA	NA
HMG20B_1.Infer.motif	493	480	Not-Overlapped	NA	NA	0.640158077377901	NA	NA	NA	NA	NA	NA	NA	NA
HMGA1_1.motif	2488	2557	Not-Overlapped	NA	NA	0.503296515429924	NA	NA	NA	NA	NA	NA	NA	NA
HMGA2_1.motif	0	1	Not-Overlapped	NA	NA	0.266910219855672	NA	NA	NA	NA	NA	NA	NA	NA
